iter	Passed	Remaining
0	1	1219
1	1	962
2	2	806
3	3	756
4	3	731
5	4	715
6	4	685
7	5	674
8	6	709
9	6	683
10	7	671
11	8	660
12	8	656
13	9	643
14	9	641
15	10	640
16	10	630
17	11	626
18	12	619
19	12	615
20	13	612
21	13	608
22	14	605
23	14	604
24	15	598
25	15	595
26	16	593
27	17	592
28	17	602
29	18	606
30	19	608
31	20	610
32	20	610
33	21	612
34	22	614
35	23	619
36	23	621
37	24	624
38	25	625
39	26	626
40	26	625
41	27	626
42	28	629
43	29	633
44	30	637
45	30	642
46	31	644
47	32	642
48	33	643
49	33	643
50	34	645
51	35	645
52	36	645
53	36	645
54	37	645
55	38	645
56	38	645
57	39	644
58	40	642
59	40	641
60	41	639
61	42	635
62	42	632
63	43	630
64	43	626
65	44	624
66	44	622
67	45	619
68	45	617
69	46	615
70	46	613
71	47	612
72	48	610
73	48	608
74	49	607
75	49	606
76	50	605
77	51	603
78	51	600
79	52	600
80	52	599
81	53	598
82	54	597
83	54	596
84	55	595
85	55	593
86	56	592
87	56	590
88	57	587
89	57	585
90	58	584
91	59	583
92	59	581
93	60	580
94	60	580
95	61	578
96	62	578
97	62	578
98	63	576
99	63	575
100	64	575
101	65	575
102	65	573
103	66	572
104	67	571
105	67	569
106	68	567
107	68	566
108	69	566
109	69	564
110	70	566
111	71	565
112	72	565
113	72	564
114	73	563
115	73	561
116	74	561
117	74	560
118	75	558
119	76	557
120	76	557
121	77	555
122	77	555
123	78	555
124	79	554
125	79	554
126	80	552
127	81	552
128	81	551
129	82	550
130	82	549
131	83	548
132	83	547
133	84	546
134	85	544
135	85	543
136	86	542
137	86	540
138	87	540
139	87	538
140	88	537
141	88	535
142	89	535
143	90	535
144	90	533
145	91	532
146	91	531
147	92	530
148	92	529
149	93	530
150	94	529
151	94	528
152	95	527
153	95	526
154	96	523
155	96	523
156	97	522
157	97	521
158	98	521
159	99	520
160	99	520
161	100	519
162	101	519
163	101	518
164	102	516
165	102	515
166	103	515
167	103	512
168	104	512
169	104	511
170	105	510
171	105	510
172	106	509
173	107	508
174	107	507
175	108	506
176	108	505
177	109	504
178	109	504
179	110	503
180	111	502
181	111	501
182	112	500
183	112	499
184	113	498
185	113	497
186	114	497
187	114	496
188	115	496
189	116	495
190	116	493
191	117	492
192	117	492
193	118	491
194	118	490
195	119	489
196	119	488
197	120	487
198	121	487
199	122	490
200	123	489
201	123	488
202	124	488
203	125	488
204	125	488
205	126	487
206	126	486
207	127	485
208	128	485
209	128	484
210	129	483
211	129	482
212	130	481
213	130	481
214	131	480
215	132	479
216	132	478
217	133	478
218	133	477
219	134	476
220	135	476
221	135	475
222	136	474
223	136	473
224	137	473
225	137	472
226	138	471
227	139	473
228	140	473
229	141	473
230	142	473
231	143	475
232	144	474
233	144	474
234	145	473
235	146	472
236	146	472
237	147	471
238	148	471
239	149	472
240	149	471
241	150	470
242	150	470
243	151	469
244	152	469
245	152	468
246	153	467
247	154	467
248	154	466
249	155	466
250	156	465
251	156	465
252	157	464
253	158	464
254	158	464
255	159	463
256	160	463
257	161	463
258	162	463
259	162	462
260	163	461
261	163	460
262	164	460
263	164	459
264	165	458
265	165	457
266	166	457
267	167	456
268	167	455
269	168	455
270	169	454
271	169	454
272	170	453
273	171	453
274	171	452
275	172	452
276	173	451
277	173	451
278	174	450
279	174	449
280	175	448
281	175	447
282	176	447
283	176	446
284	177	445
285	177	444
286	178	443
287	178	442
288	179	441
289	179	440
290	180	439
291	180	438
292	181	437
293	181	436
294	182	435
295	182	434
296	183	433
297	183	432
298	184	431
299	184	430
300	185	429
301	185	428
302	185	427
303	186	426
304	187	426
305	187	425
306	187	424
307	188	423
308	188	422
309	189	421
310	189	420
311	190	419
312	190	418
313	191	418
314	191	417
315	192	416
316	192	415
317	193	414
318	193	413
319	194	412
320	194	411
321	195	410
322	195	409
323	196	408
324	196	408
325	196	407
326	197	406
327	197	405
328	198	404
329	198	403
330	199	402
331	199	402
332	200	401
333	200	400
334	201	399
335	201	398
336	202	398
337	202	397
338	203	396
339	203	395
340	204	395
341	205	394
342	205	393
343	205	392
344	206	391
345	206	391
346	207	390
347	207	389
348	208	388
349	208	387
350	209	386
351	209	385
352	210	385
353	210	384
354	210	383
355	211	382
356	211	381
357	212	380
358	212	380
359	213	379
360	213	378
361	214	377
362	214	376
363	215	376
364	215	375
365	216	374
366	216	373
367	217	372
368	217	372
369	218	371
370	218	370
371	219	370
372	219	369
373	220	368
374	220	367
375	221	367
376	221	366
377	222	365
378	222	364
379	223	363
380	223	363
381	224	362
382	224	361
383	224	360
384	225	360
385	225	359
386	226	358
387	226	357
388	227	356
389	227	356
390	228	355
391	228	354
392	229	353
393	229	352
394	229	352
395	230	351
396	230	350
397	231	349
398	231	349
399	232	348
400	232	347
401	233	347
402	233	346
403	234	345
404	234	345
405	235	344
406	235	343
407	236	342
408	236	342
409	237	341
410	237	340
411	238	340
412	238	339
413	239	338
414	239	337
415	240	337
416	240	336
417	241	335
418	241	334
419	242	334
420	242	333
421	243	333
422	243	332
423	244	331
424	244	330
425	245	330
426	245	329
427	246	328
428	246	328
429	247	327
430	247	326
431	248	326
432	248	325
433	248	324
434	249	323
435	249	323
436	250	322
437	250	321
438	251	321
439	252	320
440	252	320
441	252	319
442	253	318
443	254	318
444	254	317
445	255	316
446	255	316
447	256	315
448	256	314
449	257	314
450	257	313
451	257	312
452	258	312
453	258	311
454	259	310
455	259	310
456	260	309
457	260	308
458	261	308
459	262	307
460	262	306
461	262	306
462	263	305
463	263	304
464	264	304
465	264	303
466	265	302
467	265	302
468	266	301
469	266	300
470	267	300
471	267	299
472	268	298
473	268	298
474	269	297
475	269	296
476	270	296
477	270	295
478	270	294
479	271	294
480	272	293
481	272	292
482	272	292
483	273	291
484	273	290
485	274	290
486	274	289
487	275	288
488	275	288
489	276	287
490	276	286
491	277	286
492	277	285
493	278	284
494	278	284
495	279	283
496	279	283
497	280	282
498	280	281
499	280	280
500	281	280
501	281	279
502	282	279
503	283	278
504	283	277
505	283	277
506	284	276
507	284	275
508	285	275
509	285	274
510	286	273
511	286	273
512	287	272
513	287	272
514	288	271
515	288	270
516	289	270
517	289	269
518	290	268
519	290	268
520	291	267
521	291	267
522	292	266
523	292	266
524	293	265
525	293	264
526	294	264
527	294	263
528	295	262
529	295	262
530	296	261
531	296	261
532	297	260
533	297	259
534	298	259
535	298	258
536	299	258
537	299	257
538	300	256
539	300	256
540	301	255
541	301	255
542	302	254
543	302	253
544	303	253
545	303	252
546	304	251
547	304	251
548	305	250
549	305	250
550	306	249
551	306	248
552	306	248
553	307	247
554	308	247
555	308	246
556	309	245
557	309	245
558	310	244
559	310	244
560	311	243
561	311	242
562	312	242
563	313	242
564	313	241
565	314	241
566	314	240
567	315	239
568	315	239
569	316	238
570	316	237
571	317	237
572	317	236
573	318	236
574	318	235
575	319	235
576	319	234
577	320	234
578	321	233
579	321	232
580	322	232
581	322	231
582	322	231
583	323	230
584	323	229
585	324	229
586	324	228
587	325	227
588	325	227
589	326	226
590	326	226
591	327	225
592	327	224
593	328	224
594	328	223
595	329	223
596	329	222
597	330	221
598	330	221
599	331	220
600	331	220
601	332	219
602	332	218
603	333	218
604	333	217
605	333	217
606	334	216
607	335	216
608	335	215
609	336	214
610	336	214
611	337	213
612	337	213
613	338	212
614	338	211
615	339	211
616	339	210
617	339	210
618	340	209
619	340	208
620	341	208
621	341	207
622	342	207
623	342	206
624	343	205
625	343	205
626	344	204
627	344	204
628	345	203
629	345	203
630	346	202
631	347	202
632	347	201
633	348	201
634	348	200
635	349	200
636	350	199
637	350	198
638	350	198
639	351	197
640	351	197
641	352	196
642	352	195
643	353	195
644	353	194
645	354	194
646	354	193
647	355	192
648	355	192
649	356	191
650	356	191
651	357	190
652	357	190
653	358	189
654	358	188
655	358	188
656	359	187
657	359	187
658	360	186
659	360	185
660	361	185
661	361	184
662	362	184
663	362	183
664	363	183
665	363	182
666	364	181
667	364	181
668	364	180
669	365	180
670	365	179
671	366	178
672	366	178
673	367	177
674	367	177
675	368	176
676	368	176
677	369	175
678	369	174
679	370	174
680	370	173
681	371	173
682	371	172
683	372	172
684	372	171
685	373	170
686	373	170
687	374	169
688	374	169
689	375	168
690	375	168
691	376	167
692	376	166
693	377	166
694	377	165
695	378	165
696	378	164
697	379	164
698	379	163
699	380	163
700	380	162
701	381	161
702	381	161
703	382	160
704	382	160
705	383	159
706	383	159
707	384	158
708	384	157
709	385	157
710	385	156
711	386	156
712	386	155
713	387	155
714	387	154
715	388	153
716	388	153
717	388	152
718	389	152
719	389	151
720	391	151
721	391	150
722	392	150
723	392	149
724	392	149
725	393	148
726	394	147
727	394	147
728	395	146
729	395	146
730	395	145
731	396	145
732	397	144
733	397	144
734	398	143
735	398	142
736	399	142
737	399	141
738	400	141
739	400	140
740	401	140
741	401	139
742	402	139
743	402	138
744	403	137
745	403	137
746	404	136
747	404	136
748	405	135
749	405	135
750	406	134
751	406	134
752	407	133
753	407	132
754	408	132
755	408	131
756	409	131
757	409	130
758	410	130
759	410	129
760	411	129
761	411	128
762	412	128
763	412	127
764	413	126
765	413	126
766	414	125
767	414	125
768	415	124
769	416	124
770	416	123
771	416	123
772	417	122
773	417	122
774	418	121
775	418	120
776	419	120
777	419	119
778	420	119
779	420	118
780	421	118
781	421	117
782	422	116
783	422	116
784	422	115
785	423	115
786	423	114
787	424	114
788	425	113
789	425	113
790	426	112
791	426	111
792	426	111
793	427	110
794	428	110
795	428	109
796	428	109
797	429	108
798	429	108
799	430	107
800	430	107
801	431	106
802	431	105
803	432	105
804	432	104
805	433	104
806	433	103
807	434	103
808	434	102
809	435	102
810	435	101
811	436	101
812	436	100
813	437	99
814	437	99
815	438	98
816	438	98
817	439	97
818	439	97
819	440	96
820	440	96
821	441	95
822	442	95
823	442	94
824	443	94
825	443	93
826	444	92
827	444	92
828	445	91
829	445	91
830	446	90
831	446	90
832	447	89
833	447	89
834	448	88
835	448	87
836	448	87
837	449	86
838	449	86
839	450	85
840	450	85
841	451	84
842	451	84
843	452	83
844	452	83
845	453	82
846	453	81
847	454	81
848	454	80
849	455	80
850	455	79
851	456	79
852	456	78
853	457	78
854	457	77
855	458	77
856	458	76
857	459	75
858	459	75
859	460	74
860	460	74
861	461	73
862	461	73
863	462	72
864	462	72
865	463	71
866	463	71
867	464	70
868	464	70
869	464	69
870	465	68
871	465	68
872	466	67
873	466	67
874	467	66
875	467	66
876	468	65
877	468	65
878	469	64
879	469	64
880	470	63
881	470	62
882	471	62
883	471	61
884	472	61
885	472	60
886	473	60
887	473	59
888	474	59
889	474	58
890	475	58
891	475	57
892	476	57
893	476	56
894	477	55
895	477	55
896	477	54
897	478	54
898	478	53
899	479	53
900	479	52
901	480	52
902	480	51
903	481	51
904	482	50
905	482	50
906	482	49
907	483	48
908	483	48
909	484	47
910	484	47
911	485	46
912	485	46
913	486	45
914	486	45
915	487	44
916	487	44
917	488	43
918	488	43
919	489	42
920	489	41
921	489	41
922	490	40
923	490	40
924	491	39
925	491	39
926	492	38
927	492	38
928	493	37
929	493	37
930	494	36
931	494	36
932	494	35
933	495	35
934	495	34
935	496	33
936	496	33
937	497	32
938	498	32
939	499	31
940	499	31
941	499	30
942	500	30
943	500	29
944	501	29
945	502	28
946	502	28
947	502	27
948	503	27
949	503	26
950	504	25
951	504	25
952	505	24
953	505	24
954	506	23
955	506	23
956	507	22
957	507	22
958	508	21
959	508	21
960	509	20
961	509	20
962	510	19
963	510	19
964	510	18
965	511	17
966	511	17
967	512	16
968	512	16
969	513	15
970	513	15
971	514	14
972	514	14
973	514	13
974	515	13
975	515	12
976	516	12
977	516	11
978	517	11
979	517	10
980	518	10
981	518	9
982	519	8
983	519	8
984	520	7
985	520	7
986	521	6
987	521	6
988	522	5
989	522	5
990	522	4
991	523	4
992	524	3
993	524	3
994	524	2
995	525	2
996	525	1
997	526	1
998	526	0
999	527	0
